time,lat,lon,sst
2023-01-01,25.125,122.125,24.15
2023-01-01,25.125,122.375,24.439999
2023-01-01,25.125,122.625,24.859999
2023-01-01,25.125,122.875,24.85
2023-01-01,25.125,123.125,24.689999
2023-01-01,25.125,123.375,24.529999
2023-01-01,25.125,123.625,24.4
2023-01-01,25.125,123.875,24.289999
2023-01-01,25.375,122.125,23.73
2023-01-01,25.375,122.375,24.279999
2023-01-01,25.375,122.625,24.699999
2023-01-01,25.375,122.875,24.83
2023-01-01,25.375,123.125,24.84
2023-01-01,25.375,123.375,24.769999
2023-01-01,25.375,123.625,24.619999
2023-01-01,25.375,123.875,24.5
2023-01-01,25.625,122.125,23.359999
2023-01-01,25.625,122.375,23.89
2023-01-01,25.625,122.625,24.42
2023-01-01,25.625,122.875,24.82
2023-01-01,25.625,123.125,25.019999
2023-01-01,25.625,123.375,25.029999
2023-01-01,25.625,123.625,24.92
2023-01-01,25.625,123.875,24.76
2023-01-01,25.875,122.125,22.97
2023-01-01,25.875,122.375,23.59
2023-01-01,25.875,122.625,24.05
2023-01-01,25.875,122.875,24.55
2023-01-01,25.875,123.125,24.939999
2023-01-01,25.875,123.375,25.07
2023-01-01,25.875,123.625,24.97
2023-01-01,25.875,123.875,24.779999
2023-01-01,26.125,122.125,22.369999
2023-01-01,26.125,122.375,22.92
2023-01-01,26.125,122.625,23.4
2023-01-01,26.125,122.875,23.91
2023-01-01,26.125,123.125,24.42
2023-01-01,26.125,123.375,24.64
2023-01-01,26.125,123.625,24.57
2023-01-01,26.125,123.875,24.34
2023-01-01,26.375,122.125,21.88
2023-01-01,26.375,122.375,22.24
2023-01-01,26.375,122.625,22.619999
2023-01-01,26.375,122.875,23.039999
2023-01-01,26.375,123.125,23.55
2023-01-01,26.375,123.375,23.779999
2023-01-01,26.375,123.625,23.689999
2023-01-01,26.375,123.875,23.439999
2023-01-01,26.625,122.125,21.47
2023-01-01,26.625,122.375,21.71
2023-01-01,26.625,122.625,21.85
2023-01-01,26.625,122.875,22.16
2023-01-01,26.625,123.125,22.56
2023-01-01,26.625,123.375,22.75
2023-01-01,26.625,123.625,22.67
2023-01-01,26.625,123.875,22.449999
2023-01-01,26.875,122.125,21.25
2023-01-01,26.875,122.375,21.199999
2023-01-01,26.875,122.625,21.24
2023-01-01,26.875,122.875,21.43
2023-01-01,26.875,123.125,21.72
2023-01-01,26.875,123.375,21.89
2023-01-01,26.875,123.625,21.869999
2023-01-01,26.875,123.875,21.72
2023-01-02,25.125,122.125,24.24
2023-01-02,25.125,122.375,24.5
2023-01-02,25.125,122.625,24.55
2023-01-02,25.125,122.875,24.6
2023-01-02,25.125,123.125,24.56
2023-01-02,25.125,123.375,24.48
2023-01-02,25.125,123.625,24.38
2023-01-02,25.125,123.875,24.289999
2023-01-02,25.375,122.125,23.859999
2023-01-02,25.375,122.375,24.33
2023-01-02,25.375,122.625,24.67
2023-01-02,25.375,122.875,24.63
2023-01-02,25.375,123.125,24.74
2023-01-02,25.375,123.375,24.71
2023-01-02,25.375,123.625,24.63
2023-01-02,25.375,123.875,24.519999
2023-01-02,25.625,122.125,23.58
2023-01-02,25.625,122.375,24.08
2023-01-02,25.625,122.625,24.5
2023-01-02,25.625,122.875,24.83
2023-01-02,25.625,123.125,25.01
2023-01-02,25.625,123.375,25.0
2023-01-02,25.625,123.625,24.939999
2023-01-02,25.625,123.875,24.74
2023-01-02,25.875,122.125,23.21
2023-01-02,25.875,122.375,23.76
2023-01-02,25.875,122.625,24.21
2023-01-02,25.875,122.875,24.609999
2023-01-02,25.875,123.125,24.949999
2023-01-02,25.875,123.375,25.06
2023-01-02,25.875,123.625,24.99
2023-01-02,25.875,123.875,24.83
2023-01-02,26.125,122.125,22.59
2023-01-02,26.125,122.375,23.1
2023-01-02,26.125,122.625,23.55
2023-01-02,26.125,122.875,24.01
2023-01-02,26.125,123.125,24.46
2023-01-02,26.125,123.375,24.67
2023-01-02,26.125,123.625,24.67
2023-01-02,26.125,123.875,24.439999
2023-01-02,26.375,122.125,22.01
2023-01-02,26.375,122.375,22.369999
2023-01-02,26.375,122.625,22.71
2023-01-02,26.375,122.875,23.15
2023-01-02,26.375,123.125,23.63
2023-01-02,26.375,123.375,23.9
2023-01-02,26.375,123.625,23.9
2023-01-02,26.375,123.875,23.71
2023-01-02,26.625,122.125,21.529999
2023-01-02,26.625,122.375,21.72
2023-01-02,26.625,122.625,21.89
2023-01-02,26.625,122.875,22.22
2023-01-02,26.625,123.125,22.66
2023-01-02,26.625,123.375,22.93
2023-01-02,26.625,123.625,22.93
2023-01-02,26.625,123.875,22.75
2023-01-02,26.875,122.125,20.99
2023-01-02,26.875,122.375,21.06
2023-01-02,26.875,122.625,21.289999
2023-01-02,26.875,122.875,21.539999
2023-01-02,26.875,123.125,21.91
2023-01-02,26.875,123.375,22.109999
2023-01-02,26.875,123.625,22.109999
2023-01-02,26.875,123.875,22.0
2023-01-03,25.125,122.125,24.25
2023-01-03,25.125,122.375,24.519999
2023-01-03,25.125,122.625,24.65
2023-01-03,25.125,122.875,24.609999
2023-01-03,25.125,123.125,24.519999
2023-01-03,25.125,123.375,24.41
2023-01-03,25.125,123.625,24.279999
2023-01-03,25.125,123.875,24.15
2023-01-03,25.375,122.125,23.82
2023-01-03,25.375,122.375,24.35
2023-01-03,25.375,122.625,24.64
2023-01-03,25.375,122.875,24.71
2023-01-03,25.375,123.125,24.75
2023-01-03,25.375,123.375,24.619999
2023-01-03,25.375,123.625,24.529999
2023-01-03,25.375,123.875,24.39
2023-01-03,25.625,122.125,23.49
2023-01-03,25.625,122.375,24.109999
2023-01-03,25.625,122.625,24.529999
2023-01-03,25.625,122.875,24.81
2023-01-03,25.625,123.125,24.97
2023-01-03,25.625,123.375,24.91
2023-01-03,25.625,123.625,24.869999
2023-01-03,25.625,123.875,24.75
2023-01-03,25.875,122.125,23.08
2023-01-03,25.875,122.375,23.74
2023-01-03,25.875,122.625,24.18
2023-01-03,25.875,122.875,24.57
2023-01-03,25.875,123.125,24.869999
2023-01-03,25.875,123.375,24.92
2023-01-03,25.875,123.625,24.99
2023-01-03,25.875,123.875,24.84
2023-01-03,26.125,122.125,22.48
2023-01-03,26.125,122.375,23.1
2023-01-03,26.125,122.625,23.519999
2023-01-03,26.125,122.875,23.939999
2023-01-03,26.125,123.125,24.33
2023-01-03,26.125,123.375,24.51
2023-01-03,26.125,123.625,24.66
2023-01-03,26.125,123.875,24.539999
2023-01-03,26.375,122.125,21.949999
2023-01-03,26.375,122.375,22.4
2023-01-03,26.375,122.625,22.73
2023-01-03,26.375,122.875,23.109999
2023-01-03,26.375,123.125,23.519999
2023-01-03,26.375,123.375,23.75
2023-01-03,26.375,123.625,23.9
2023-01-03,26.375,123.875,23.81
2023-01-03,26.625,122.125,21.55
2023-01-03,26.625,122.375,21.8
2023-01-03,26.625,122.625,21.96
2023-01-03,26.625,122.875,22.199999
2023-01-03,26.625,123.125,22.55
2023-01-03,26.625,123.375,22.82
2023-01-03,26.625,123.625,22.96
2023-01-03,26.625,123.875,22.9
2023-01-03,26.875,122.125,21.13
2023-01-03,26.875,122.375,21.38
2023-01-03,26.875,122.625,21.529999
